Strategy ID,Strategy Name,Signal Generator,Total Signals,Executed Trades,Execution Rate %,Win Rate %,Total PnL ₹,Avg PnL/Trade ₹,Avg PnL/Signal ₹,SL %,TP %,Position Size
openclose_standard_conservative,OpenClose (Conservative),OpenClose,238,192,80.67226890756302,50.520833333333336,4029.707014023084,20.98805736470356,16.931542075727243,1.0,2.0,100
openclose_conservative_conservative,OpenClose (Conservative),OpenClose,151,54,35.76158940397351,51.85185185185185,3387.3128894081656,62.72801647052159,22.432535691444805,1.0,2.0,100
openclose_conservative_aggressive,OpenClose (Aggressive),OpenClose,151,54,35.76158940397351,40.74074074074074,-418.6187540937631,-7.752199149884501,-2.7723096297600205,0.5,3.0,100
openclose_standard_aggressive,OpenClose (Aggressive),OpenClose,238,192,80.67226890756302,40.10416666666667,-1160.6848895083995,-6.045233799522914,-4.876827266842015,0.5,3.0,100
highlow_conservative_aggressive,HighLow (Aggressive),HighLow,376,234,62.23404255319149,35.47008547008547,-12376.60131699755,-52.89145861964765,-32.916492864355185,0.5,3.0,100
highlow_standard_aggressive,HighLow (Aggressive),HighLow,483,403,83.4368530020704,37.220843672456574,-18030.65353620422,-44.741075772218906,-37.33054562361122,0.5,3.0,100
highlow_conservative_conservative,HighLow (Conservative),HighLow,376,234,62.23404255319149,43.58974358974359,-26739.521546421063,-114.27145960009001,-71.11574879367303,1.0,2.0,100
highlow_standard_conservative,HighLow (Conservative),HighLow,483,403,83.4368530020704,46.65012406947891,-27321.84425733793,-67.79613959637203,-56.56696533610337,1.0,2.0,100
