bin_low,bin_high,count,dir_acc,mae_open,mae_high,mae_low,mae_close
0.0,0.55,12,0.6666666666666666,5.618784427642822,9.515167236328125,11.62384033203125,15.901692390441895
0.55,0.65,32,0.375,5.0800323486328125,9.939247131347656,17.16948699951172,20.448055267333984
0.65,0.75,38,0.5263157894736842,6.514227390289307,9.35455322265625,16.269161224365234,17.634868621826172
0.75,0.8,8,0.125,6.457550048828125,21.40399169921875,18.150711059570312,37.675567626953125
0.8,0.85,4,0.75,6.416229248046875,4.4931640625,10.682342529296875,16.18951416015625
0.85,0.9,0,,,,,
0.9,0.95,0,,,,,
0.95,1.01,0,,,,,
