bin_low,bin_high,count,dir_acc,mae_open,mae_high,mae_low,mae_close
0.0,0.55,39,0.38461538461538464,8.020689010620117,10.371572494506836,10.154838562011719,13.95605754852295
0.55,0.65,41,0.4146341463414634,5.89384651184082,6.545865535736084,6.489603042602539,12.374279022216797
0.65,0.75,13,0.23076923076923078,6.072331428527832,7.647010326385498,7.37868070602417,11.818669319152832
0.75,0.8,1,0.0,2.152587890625,12.010986328125,6.5113525390625,22.1409912109375
0.8,0.85,0,,,,,
0.85,0.9,0,,,,,
0.9,0.95,0,,,,,
0.95,1.01,0,,,,,
