bin_low,bin_high,count,dir_acc,mae_open,mae_high,mae_low,mae_close
0.0,0.55,20,0.5,4.791668891906738,8.008478164672852,7.934814453125,12.745275497436523
0.55,0.65,32,0.4375,6.610721588134766,14.044673919677734,6.5549468994140625,9.930011749267578
0.65,0.75,27,0.48148148148148145,5.258472442626953,13.567219734191895,9.346399307250977,13.293511390686035
0.75,0.8,4,0.25,3.969146728515625,12.62176513671875,4.96990966796875,12.62481689453125
0.8,0.85,5,0.2,4.7208251953125,12.962011337280273,6.798925876617432,11.990991592407227
0.85,0.9,2,0.5,6.236083984375,12.6890869140625,2.03680419921875,16.9366455078125
0.9,0.95,1,0.0,4.8935546875,29.124267578125,15.8154296875,35.970458984375
0.95,1.01,0,,,,,
