bin_low,bin_high,count,dir_acc,mae_open,mae_high,mae_low,mae_close
0.0,0.55,20,0.65,5.084814548492432,9.196734428405762,12.385357856750488,11.988537788391113
0.55,0.65,35,0.5428571428571428,6.442023754119873,10.677082061767578,14.310361862182617,17.018192291259766
0.65,0.75,23,0.4782608695652174,8.880169868469238,10.71080493927002,15.756523132324219,19.907825469970703
0.75,0.8,8,0.375,6.3661651611328125,21.083099365234375,15.905609130859375,30.990692138671875
0.8,0.85,4,0.5,7.058868408203125,11.10321044921875,12.588226318359375,21.54559326171875
0.85,0.9,1,1.0,1.776611328125,8.79638671875,2.373291015625,2.806884765625
0.9,0.95,1,1.0,3.319091796875,1.551025390625,23.7030029296875,27.85302734375
0.95,1.01,2,1.0,4.09295654296875,8.17669677734375,24.59466552734375,26.22515869140625
