timestamp,open,high,low,close,volume
1506988800,1220.0,1227.15,1213.53,1224.22,480752
1507075200,1224.8,1227.0,1212.5,1221.15,325195
1507161600,1220.5,1221.72,1212.2,1214.8,421172
1507248000,1215.0,1227.5,1214.03,1223.32,347297
1507507200,1220.53,1233.97,1220.53,1227.05,443404
1507593600,1227.5,1234.97,1225.62,1229.62,305503
1507680000,1230.0,1257.22,1228.38,1250.18,381937
1507766400,1256.5,1277.5,1253.5,1274.1,1251589
1507852800,1274.1,1304.47,1261.5,1279.3,1016580
1508112000,1277.53,1295.0,1277.53,1292.2,304648
1508198400,1292.5,1307.47,1288.78,1297.28,360754
1508284800,1297.5,1306.82,1290.0,1293.3,378536
1508371200,1296.0,1297.9,1285.5,1291.95,21706
1508716800,1292.0,1314.5,1273.72,1293.95,471522
1508803200,1310.0,1310.45,1284.53,1289.2,334755
1508889600,1289.25,1307.0,1277.5,1279.95,276277
1508976000,1267.55,1284.57,1258.95,1269.43,751888
1509062400,1269.0,1296.57,1265.15,1292.15,352318
1509321600,1293.0,1310.0,1290.85,1308.1,284313
1509408000,1300.65,1320.0,1300.65,1312.0,398159
1509494400,1312.0,1313.43,1289.43,1301.43,185471
1509580800,1304.25,1337.0,1303.38,1313.07,367106
1509667200,1316.2,1318.35,1301.4,1310.05,166722
1509926400,1310.0,1335.9,1305.88,1332.78,344250
1510012800,1335.0,1384.0,1333.03,1355.03,674223
1510099200,1361.5,1379.5,1359.12,1367.5,350563
1510185600,1375.0,1375.0,1359.65,1368.2,288108
1510272000,1361.1,1363.0,1346.68,1354.38,339142
1510531200,1351.03,1388.7,1351.03,1379.47,374249
1510617600,1378.28,1378.28,1353.75,1357.3,414313
1510704000,1353.0,1377.5,1350.68,1352.65,1667709
1510790400,1355.0,1381.5,1343.47,1373.32,413371
1510876800,1374.05,1374.05,1351.8,1353.65,331366
1511136000,1357.5,1363.45,1347.65,1351.72,253625
1511222400,1350.5,1350.5,1333.0,1336.47,381935
1511308800,1336.5,1354.85,1336.2,1340.32,455656
1511395200,1340.5,1346.5,1334.5,1340.62,198368
1511481600,1341.0,1351.45,1336.55,1344.03,571878
1511740800,1344.0,1347.95,1331.1,1342.93,464197
1511827200,1343.0,1351.2,1335.0,1342.65,227929
1511913600,1338.75,1346.5,1325.0,1329.07,361883
1512000000,1326.82,1333.47,1311.5,1318.5,1074991
1512086400,1317.5,1334.0,1310.75,1314.97,257786
1512345600,1311.0,1329.25,1301.47,1316.18,314776
1512432000,1315.5,1325.85,1314.07,1317.78,291979
1512518400,1318.0,1322.5,1306.43,1316.65,351880
1512604800,1316.15,1322.97,1307.5,1308.62,331575
1512691200,1309.0,1322.5,1298.5,1300.75,346387
1512950400,1304.18,1336.32,1304.18,1330.55,252001
1513036800,1330.5,1331.0,1303.7,1306.07,470562
1513123200,1305.7,1325.72,1300.5,1314.2,740365
1513209600,1316.0,1316.0,1265.55,1278.9,1376038
1513296000,1281.88,1292.22,1268.43,1272.8,679535
1513555200,1268.5,1294.47,1247.18,1290.25,545166
1513641600,1288.0,1298.9,1282.35,1287.65,450488
1513728000,1291.0,1296.38,1275.32,1294.47,394393
1513814400,1293.5,1304.0,1290.03,1297.85,323412
1513900800,1302.0,1331.95,1295.1,1323.38,916416
1514246400,1343.0,1344.88,1315.8,1324.72,543947
1514332800,1324.72,1329.25,1305.25,1309.95,184821
1514419200,1304.4,1326.75,1302.82,1313.47,651272
1514505600,1311.55,1354.45,1309.28,1350.6,652386
1514764800,1341.15,1347.4,1317.5,1322.8,337940
1514851200,1330.0,1334.8,1310.1,1315.6,1920290
1514937600,1316.0,1334.5,1315.6,1319.32,314280
1515024000,1325.0,1331.0,1320.0,1328.55,228271
1515110400,1325.0,1349.75,1325.0,1344.6,288427
1515369600,1350.0,1363.43,1340.93,1357.2,310555
1515456000,1357.5,1360.5,1338.28,1354.5,537349
1515542400,1355.5,1408.0,1347.32,1403.3,841463
1515628800,1405.0,1410.95,1391.1,1395.25,630262
1515715200,1402.5,1402.5,1370.28,1388.18,840079
1515974400,1388.57,1404.0,1367.53,1373.05,364304
1516060800,1378.0,1430.82,1375.28,1425.43,1066938
1516147200,1435.0,1462.5,1431.07,1444.47,1070202
1516233600,1448.5,1466.5,1434.03,1459.1,552370
1516320000,1465.28,1491.0,1451.82,1479.65,455000
1516579200,1480.5,1567.35,1461.0,1558.2,1091778
1516665600,1557.47,1571.18,1545.03,1551.0,809903
1516752000,1545.0,1629.53,1541.32,1587.3,1405385
1516838400,1587.5,1589.9,1540.5,1560.53,958461
1517184000,1565.7,1612.5,1561.0,1599.43,785265
1517270400,1590.0,1601.9,1571.85,1576.43,393690
1517356800,1568.5,1575.0,1549.3,1556.18,760804
1517443200,1562.0,1595.0,1544.4,1569.3,600158
1517529600,1560.0,1595.0,1551.72,1576.82,614123
1517788800,1555.0,1594.0,1538.43,1551.6,689436
1517875200,1505.0,1538.57,1492.5,1498.62,664327
1517961600,1513.5,1515.5,1473.72,1477.53,545081
1518048000,1489.88,1513.8,1479.5,1487.1,688751
1518134400,1475.0,1497.0,1448.32,1485.85,525615
1518393600,1489.15,1511.68,1477.78,1483.65,493641
1518566400,1485.0,1487.22,1446.25,1455.9,711883
1518652800,1465.97,1471.5,1452.55,1462.93,616309
1518739200,1461.5,1499.8,1461.5,1466.53,628939
1518998400,1472.5,1476.65,1447.6,1461.8,392056
1519084800,1464.0,1492.53,1463.95,1472.38,472267
1519171200,1487.0,1531.3,1480.03,1521.15,772307
1519257600,1526.0,1539.5,1511.25,1525.1,865753
1519344000,1525.0,1544.5,1496.05,1537.9,840625
1519603200,1537.5,1544.97,1510.6,1515.85,340971
1519689600,1520.5,1539.28,1516.0,1521.18,429450
1519776000,1517.5,1531.97,1510.72,1517.53,676716
1519862400,1524.5,1530.6,1510.0,1518.85,429531
1520208000,1524.5,1556.82,1516.47,1552.93,714542
1520294400,1561.0,1563.5,1515.07,1521.4,476691
1520380800,1535.0,1544.5,1509.25,1513.72,479443
1520467200,1527.45,1527.45,1493.75,1501.97,487957
1520553600,1502.5,1531.6,1488.6,1517.05,468109
1520812800,1521.5,1541.95,1517.75,1526.07,522835
